task_id,source_split,bench,original_task_id,dimension,model,source_model,resolved,apply_ok,graded,in_tok,out_tok,calls,cost_usd,source_status
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,0,1,1,205845,3128,17,1.107438,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797813,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.10379,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,glm-5,glm-5,0,1,1,254940,4448,15,0.217295,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,0,1,1,99051,1889,7,0.0,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,1,1,1,65928,1078,6,0.023903,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_connector.825ef3b1.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,1,1,1,292260,4778,15,0.035304,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,claude-opus-4-6,claude-opus-4-6,0,1,1,205845,3128,17,1.107438,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,0,1,1,244939,4200,19,0.797813,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.10379,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217295,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,MiniMax-M2.7,MiniMax-M2.5,1,1,1,99051,1889,7,0.0,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,Qwen3-Max,qwen3.6-plus,0,1,1,65928,1078,6,0.023903,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_data.c8b292af.lv1,bug_fixing,qwen3.5-plus,qwen3.5-plus,0,1,1,292260,4778,15,0.035304,fail
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,claude-opus-4-6,claude-opus-4-6,1,1,1,205845,3128,17,1.107438,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,claude-sonnet-4-6,claude-sonnet-4-6,1,1,1,244939,4200,19,0.797813,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,gpt-5.4,gpt-5.4-medium,1,1,1,34599,1153,5,0.10379,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,glm-5,glm-5,1,1,1,254940,4448,15,0.217295,pass
new64::featurebench::Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,new64,featurebench,Lightning-AI__pytorch-lightning.126fa6f1.test_fsdp_integration.61c07610.lv2,bug_fixing,kimi-k2.5,kimi-k2.6,0,1,1,217550,2115,12,0.008309,fail
